Time (s),R_Peak_Index,Beat_Type,Confidence
173,173,Atrial Premature,0.7
307,307,Atrial Premature,0.5
381,381,Atrial Premature,0.7
490,490,Atrial Premature,0.5
665,665,Atrial Premature,0.5
849,849,Atrial Premature,0.7
983,983,Atrial Premature,0.7
1132,1132,Atrial Premature,0.5
1823,1823,Atrial Premature,0.7
1917,1917,Atrial Premature,0.5
2108,2108,Atrial Premature,0.5
2170,2170,Atrial Premature,0.5
2227,2227,Atrial Premature,0.5
2426,2426,Atrial Premature,0.6
2512,2512,Atrial Premature,0.5
2567,2567,Atrial Premature,0.5
2733,2733,Atrial Premature,0.5
3093,3093,Atrial Premature,0.5
3180,3180,Atrial Premature,0.5
3312,3312,Atrial Premature,0.5
3367,3367,Atrial Premature,0.5
3533,3533,Atrial Premature,0.5
3895,3895,Atrial Premature,0.5
4124,4124,Atrial Premature,0.5
4254,4254,Atrial Premature,0.5
4402,4402,Atrial Premature,0.5
4553,4553,Atrial Premature,0.5
4944,4944,Atrial Premature,0.6
5224,5224,Atrial Premature,0.5
5288,5288,Atrial Premature,0.5
5385,5385,Atrial Premature,0.5
5818,5818,Atrial Premature,0.5
5907,5907,Atrial Premature,0.5
6069,6069,Atrial Premature,0.7
6122,6122,Atrial Premature,0.7
6394,6394,Atrial Premature,0.5
6518,6518,Atrial Premature,0.5
6730,6730,Atrial Premature,0.6
6872,6872,Atrial Premature,0.5
6925,6925,Atrial Premature,0.5
6996,6996,Atrial Premature,0.7
7355,7355,Atrial Premature,0.5
7510,7510,Atrial Premature,0.5
7585,7585,Atrial Premature,0.5
7754,7754,Atrial Premature,0.5
7856,7856,Atrial Premature,0.8
8047,8047,Atrial Premature,0.5
8577,8577,Atrial Premature,0.5
8643,8643,Atrial Premature,0.5
9444,9444,Atrial Premature,0.5
9569,9569,Atrial Premature,0.7
9625,9625,Atrial Premature,0.5
9724,9724,Atrial Premature,0.5
9775,9775,Atrial Premature,0.5
9828,9828,Atrial Premature,0.5
9942,9942,Atrial Premature,0.5
10011,10011,Atrial Premature,0.5
10092,10092,Atrial Premature,0.5
10269,10269,Atrial Premature,0.5
10562,10562,Atrial Premature,0.5
10759,10759,Atrial Premature,0.5
10972,10972,Atrial Premature,0.5
11116,11116,Atrial Premature,0.5
11167,11167,Atrial Premature,0.6
11289,11289,Normal,0.4
11521,11521,Atrial Premature,0.5
11667,11667,Atrial Premature,0.5
11748,11748,Atrial Premature,0.5
11931,11931,Atrial Premature,0.5
12626,12626,Atrial Premature,0.8
12760,12760,Atrial Premature,0.5
13449,13449,Atrial Premature,0.7
13586,13586,Atrial Premature,0.5
13881,13881,Atrial Premature,0.5
14073,14073,Atrial Premature,0.6
14277,14277,Atrial Premature,0.8
14409,14409,Atrial Premature,0.5
14526,14526,Atrial Premature,0.5
14629,14629,Atrial Premature,0.5
15219,15219,Atrial Premature,0.6
16020,16020,Atrial Premature,0.5
16081,16081,Atrial Premature,0.5
16361,16361,Atrial Premature,0.5
16575,16575,Atrial Premature,0.5
16679,16679,Atrial Premature,0.5
16745,16745,Atrial Premature,0.8
16869,16869,Atrial Premature,0.5
17196,17196,Atrial Premature,0.6
17429,17429,Atrial Premature,0.5
17562,17562,Atrial Premature,0.7
17654,17654,Atrial Premature,0.5
17735,17735,Atrial Premature,0.6
18482,18482,Atrial Premature,0.6
18546,18546,Atrial Premature,0.7
18867,18867,Atrial Premature,0.5
19340,19340,Atrial Premature,0.5
19584,19584,Atrial Premature,0.5
19830,19830,Atrial Premature,0.5
20038,20038,Atrial Premature,0.7
20173,20173,Atrial Premature,0.5
20611,20611,Atrial Premature,0.5
20881,20881,Atrial Premature,0.8
21012,21012,Atrial Premature,0.6
21202,21202,Atrial Premature,0.6
21841,21841,Atrial Premature,0.6
22075,22075,Atrial Premature,0.5
22561,22561,Atrial Premature,0.8
22684,22684,Atrial Premature,0.5
23494,23494,Atrial Premature,0.5
23645,23645,Atrial Premature,0.5
24224,24224,Atrial Premature,0.7
24325,24325,Atrial Premature,0.6
25147,25147,Atrial Premature,0.5
25857,25857,Atrial Premature,0.8
25982,25982,Atrial Premature,0.5
26800,26800,Atrial Premature,0.5
27038,27038,Atrial Premature,0.7
27609,27609,Atrial Premature,0.6
28426,28426,Atrial Premature,0.5
29264,29264,Atrial Premature,0.5
30088,30088,Atrial Premature,0.5
30770,30770,Atrial Premature,0.5
30908,30908,Atrial Premature,0.7
31719,31719,Atrial Premature,0.5
32553,32553,Atrial Premature,0.5
33373,33373,Atrial Premature,0.5
34212,34212,Atrial Premature,0.6
34909,34909,Atrial Premature,0.7
35042,35042,Atrial Premature,0.5
35870,35870,Atrial Premature,0.5
36694,36694,Atrial Premature,0.5
37130,37130,Atrial Premature,0.7
37439,37439,Atrial Premature,0.7
37509,37509,Atrial Premature,0.6
37794,37794,Atrial Premature,0.7
38199,38199,Atrial Premature,0.7
