RR,PR,QRS,QT,ST
536.0,36.0,20.0,132.0,112.0
296.0,136.0,72.0,92.0,20.0
436.0,28.0,8.0,232.0,224.0
700.0,32.0,4.0,104.0,100.0
736.0,84.0,80.0,220.0,140.0
536.0,136.0,4.0,32.0,28.0
596.0,136.0,76.0,164.0,88.0
2764.0,152.0,76.0,96.0,20.0
376.0,104.0,4.0,272.0,268.0
764.0,108.0,4.0,96.0,92.0
248.0,144.0,4.0,44.0,40.0
228.0,88.0,4.0,268.0,264.0
796.0,96.0,8.0,44.0,36.0
344.0,120.0,72.0,228.0,156.0
220.0,152.0,12.0,32.0,20.0
664.0,88.0,20.0,96.0,76.0
1440.0,152.0,72.0,96.0,24.0
348.0,92.0,8.0,248.0,240.0
528.0,104.0,80.0,300.0,220.0
220.0,120.0,4.0,200.0,196.0
664.0,24.0,8.0,28.0,20.0
1448.0,112.0,12.0,112.0,100.0
916.0,24.0,4.0,148.0,144.0
520.0,24.0,4.0,36.0,32.0
592.0,60.0,68.0,284.0,216.0
604.0,128.0,72.0,96.0,24.0
1564.0,48.0,4.0,276.0,272.0
1120.0,24.0,4.0,156.0,152.0
256.0,40.0,48.0,120.0,72.0
388.0,140.0,4.0,132.0,128.0
1732.0,172.0,76.0,360.0,284.0
356.0,48.0,4.0,52.0,48.0
648.0,88.0,4.0,36.0,32.0
212.0,160.0,76.0,100.0,24.0
1088.0,196.0,80.0,120.0,40.0
496.0,60.0,84.0,380.0,296.0
848.0,152.0,8.0,40.0,32.0
568.0,104.0,8.0,196.0,188.0
212.0,44.0,8.0,268.0,260.0
284.0,184.0,44.0,96.0,52.0
1436.0,20.0,4.0,32.0,28.0
620.0,180.0,72.0,360.0,288.0
300.0,96.0,52.0,144.0,92.0
676.0,92.0,8.0,140.0,132.0
408.0,64.0,48.0,172.0,124.0
764.0,24.0,4.0,36.0,32.0
2120.0,144.0,4.0,132.0,128.0
264.0,48.0,68.0,148.0,80.0
3204.0,140.0,16.0,144.0,128.0
500.0,160.0,84.0,104.0,20.0
224.0,28.0,4.0,32.0,28.0
396.0,76.0,4.0,36.0,32.0
204.0,32.0,8.0,188.0,180.0
212.0,24.0,4.0,36.0,32.0
456.0,28.0,8.0,220.0,212.0
276.0,60.0,80.0,132.0,52.0
324.0,32.0,4.0,120.0,116.0
708.0,116.0,68.0,164.0,96.0
1172.0,112.0,8.0,100.0,92.0
788.0,32.0,20.0,160.0,140.0
852.0,164.0,72.0,292.0,220.0
576.0,60.0,68.0,300.0,232.0
204.0,156.0,80.0,104.0,24.0
488.0,148.0,48.0,144.0,96.0
928.0,32.0,12.0,52.0,40.0
584.0,188.0,88.0,180.0,92.0
324.0,148.0,4.0,128.0,124.0
732.0,196.0,92.0,184.0,92.0
2780.0,160.0,80.0,104.0,24.0
536.0,44.0,4.0,132.0,128.0
2756.0,164.0,76.0,96.0,20.0
548.0,44.0,16.0,312.0,296.0
1180.0,156.0,76.0,100.0,24.0
768.0,128.0,56.0,84.0,28.0
816.0,24.0,8.0,32.0,24.0
528.0,52.0,4.0,300.0,296.0
468.0,160.0,76.0,100.0,24.0
412.0,128.0,84.0,192.0,108.0
2360.0,24.0,4.0,36.0,32.0
3204.0,152.0,76.0,100.0,24.0
244.0,64.0,48.0,156.0,108.0
1120.0,92.0,4.0,140.0,136.0
856.0,160.0,64.0,144.0,80.0
416.0,28.0,4.0,36.0,32.0
264.0,88.0,4.0,180.0,176.0
496.0,88.0,52.0,348.0,296.0
1308.0,156.0,48.0,104.0,56.0
932.0,100.0,68.0,108.0,40.0
532.0,28.0,12.0,36.0,24.0
368.0,36.0,4.0,296.0,292.0
324.0,24.0,48.0,176.0,128.0
2988.0,152.0,8.0,136.0,128.0
256.0,64.0,48.0,120.0,72.0
1284.0,140.0,8.0,148.0,140.0
1892.0,160.0,64.0,164.0,100.0
976.0,144.0,76.0,100.0,24.0
984.0,196.0,92.0,368.0,276.0
832.0,32.0,4.0,212.0,208.0
540.0,32.0,4.0,172.0,168.0
1752.0,184.0,72.0,96.0,24.0
1080.0,24.0,4.0,120.0,116.0
524.0,92.0,4.0,36.0,32.0
760.0,188.0,80.0,100.0,20.0
2556.0,88.0,4.0,36.0,32.0
936.0,152.0,76.0,100.0,24.0
1944.0,136.0,4.0,44.0,40.0
492.0,164.0,80.0,320.0,240.0
3240.0,156.0,68.0,92.0,24.0
604.0,116.0,4.0,100.0,96.0
2316.0,88.0,68.0,204.0,136.0
404.0,188.0,72.0,260.0,188.0
3288.0,188.0,80.0,100.0,20.0
2840.0,192.0,76.0,100.0,24.0
500.0,132.0,60.0,348.0,288.0
3272.0,176.0,80.0,104.0,24.0
952.0,156.0,76.0,96.0,20.0
2284.0,68.0,4.0,28.0,24.0
3268.0,156.0,76.0,96.0,20.0
3352.0,164.0,72.0,88.0,16.0
3296.0,160.0,80.0,104.0,24.0
2728.0,112.0,12.0,100.0,88.0
552.0,36.0,8.0,280.0,272.0
3244.0,164.0,76.0,100.0,24.0
3336.0,196.0,80.0,100.0,20.0
3280.0,120.0,8.0,96.0,88.0
3356.0,64.0,48.0,164.0,116.0
2788.0,144.0,80.0,100.0,20.0
532.0,76.0,4.0,36.0,32.0
3312.0,164.0,80.0,100.0,20.0
3296.0,160.0,80.0,100.0,20.0
1744.0,148.0,72.0,92.0,20.0
1236.0,116.0,4.0,72.0,68.0
280.0,152.0,8.0,292.0,284.0
1140.0,192.0,80.0,100.0,20.0
1620.0,104.0,4.0,36.0,32.0
556.0,80.0,52.0,144.0,92.0
,180.0,80.0,104.0,24.0
