P_peaks,Q_peaks,R_peaks,S_peaks,T_peaks
25,67,76,86,127
320,359,370,380,487
616,653,662,671,712
898,936,946,955,1061
1180,1221,1231,1240,1347
1465,1505,1515,1524,1631
1758,1799,1809,1818,1861
1987,2034,2044,2053,2090
2355,2392,2402,2412,2487
2656,2696,2705,2715,2822
2951,2988,2997,3006,3060
3234,3273,3282,3291,3347
3499,3550,3559,3568,3636
3811,3852,3862,3871,3978
4116,4160,4170,4179,4224
4416,4456,4465,4475,4507
4701,4754,4764,4774,4819
5009,5050,5060,5069,5173
5300,5336,5346,5355,5392
5584,5622,5633,5643,5749
5870,5909,5918,5927,6034
6162,6204,6214,6223,6261
6474,6516,6526,6536,6580
6771,6813,6823,6832,6937
7054,7096,7105,7115,7219
7342,7379,7391,7401,7435
7624,7660,7669,7679,7723
7904,7943,7953,7962,8069
8196,8234,8245,8255,8291
8489,8529,8539,8548,8655
8787,8827,8837,8846,8917
9078,9131,9141,9150,9257
9384,9421,9431,9441,9485
9662,9700,9710,9719,9759
9936,9988,9998,10007,10111
10232,10272,10282,10291,10358
10538,10580,10590,10600,10645
10847,10884,10894,10904,10951
11128,11182,11191,11200,11307
11433,11470,11480,11489,11527
11731,11770,11780,11790,11894
12015,12056,12066,12074,12112
12299,12338,12349,12359,12465
12592,12635,12644,12654,12692
12900,12939,12949,12959,13004
13212,13254,13266,13275,13319
13501,13552,13562,13571,13678
13797,13832,13841,13851,13898
14085,14121,14130,14140,14180
14378,14413,14422,14431,14491
14662,14701,14710,14719,14764
14959,15001,15011,15020,15075
15261,15300,15310,15319,15360
15558,15597,15607,15616,15656
15838,15890,15899,15908,16015
16137,16172,16183,16193,16299
16419,16454,16464,16474,16514
16703,16745,16755,16764,16833
17006,17048,17058,17067,17174
17309,17348,17358,17367,17414
17606,17646,17657,17667,17707
17896,17937,17946,17956,18062
18176,18216,18226,18236,18343
18463,18503,18513,18523,18630
18745,18784,18795,18805,18837
19029,19071,19080,19089,19142
19334,19378,19388,19397,19436
19644,19682,19693,19702,19741
19940,19979,19989,19998,20103
20208,20262,20271,20280,20383
20504,20544,20554,20563,20602
20786,20828,20837,20846,20886
21081,21121,21131,21140,21205
21375,21413,21423,21433,21471
21677,21719,21728,21737,21775
21976,22019,22029,22038,22077
22271,22311,22321,22330,22434
22555,22593,22602,22611,22716
22833,22871,22881,22889,22993
23113,23154,23163,23172,23229
23399,23443,23453,23463,23536
23702,23746,23756,23765,23805
24004,24042,24052,24062,24095
24297,24336,24345,24354,24461
24576,24616,24625,24634,24698
24866,24902,24913,24923,24963
25148,25188,25197,25206,25311
25437,25475,25485,25494,25601
25729,25769,25779,25790,25830
26034,26077,26088,26097,26143
26339,26377,26386,26396,26433
26625,26661,26670,26679,26786
26907,26942,26952,26961,27068
27191,27227,27237,27246,27287
27473,27526,27536,27545,27614
27784,27822,27833,27844,27951
28082,28121,28132,28141,28183
28382,28421,28431,28440,28484
28675,28717,28726,28735,28842
28963,29003,29014,29023,29126
29246,29284,29293,29303,29410
29534,29569,29580,29590,29633
29824,29862,29873,29883,29920
30128,30172,30182,30191,30298
30436,30477,30487,30496,30556
30730,30770,30779,30788,30895
31003,31055,31064,31074,31176
31298,31339,31348,31357,31462
31585,31625,31635,31645,31683
31878,31916,31927,31937,32044
32175,32213,32224,32233,32271
32478,32518,32529,32539,32587
32788,32826,32836,32845,32892
